class,words
0,['.']
1,"[',']"
2,['a']
3,['v']
4,['se']
5,['na']
3730,"['o', 'by', 've', 'po', 'ze', 'před']"
3727,"['""', 's', 'V', 'Na', 'listopadu', 'OKD']"
8,['-']
3715,"['že', 'ale', 'které', 'který', 'aby']"
3728,"[')', 'to', 'k', 'ČSFR', 'zákona', 'NATO', '&slash;', 'jeho', 'nás', 'J', 'státu']"
3723,"['(', 'je', 'včera', 'byl', 'si']"
3724,"['z', 'od', 'za', 'u', 'však']"
3719,"['i', ':', 'budou', 'být', 'pouze']"
3729,"['do', 'pro', 'při', 'jako', 'bude', 'jsou', '?', 'mezi', 'už', 'musí', 'bylo']"
