# sentence-text: From the AP comes this story :
1	From	from	ADP	3
2	the	the	DET	3
3	AP	AP	PROPN	4
4	comes	come	VERB	0
5	this	this	DET	6
6	story	story	NOUN	4
7	:	:	PUNCT	4

# sentence-text: President Bush on Tuesday nominated two individuals to replace retiring jurists on federal courts in the Washington area.
1	President	President	PROPN	2
2	Bush	Bush	PROPN	5
3	on	on	ADP	4
4	Tuesday	Tuesday	PROPN	5
5	nominated	nominate	VERB	0
6	two	two	NUM	7
7	individuals	individual	NOUN	5
8	to	to	PART	9
9	replace	replace	VERB	5
10	retiring	retire	VERB	11
11	jurists	jurist	NOUN	9
12	on	on	ADP	14
13	federal	federal	ADJ	14
14	courts	court	NOUN	11
15	in	in	ADP	18
16	the	the	DET	18
17	Washington	Washington	PROPN	18
18	area	area	NOUN	14
19	.	.	PUNCT	5

# sentence-text: Bush nominated Jennifer M. Anderson for a 15-year term as associate judge of the Superior Court of the District of Columbia, replacing Steffen W. Graae.
1	Bush	Bush	PROPN	2
2	nominated	nominate	VERB	0
3	Jennifer	Jennifer	PROPN	5
4	M.	M.	PROPN	5
5	Anderson	Anderson	PROPN	2
6	for	for	ADP	11
7	a	a	DET	11
8	15	15	NUM	10
9	-	-	PUNCT	10
10	year	year	NOUN	11
11	term	term	NOUN	2
12	as	as	ADP	14
13	associate	associate	ADJ	14
14	judge	judge	NOUN	11
15	of	of	ADP	18
16	the	the	DET	18
17	Superior	Superior	PROPN	18
18	Court	Court	PROPN	14
19	of	of	ADP	21
20	the	the	DET	21
21	District	District	PROPN	18
22	of	of	ADP	23
23	Columbia	Columbia	PROPN	21
24	,	,	PUNCT	2
25	replacing	replace	VERB	2
26	Steffen	Steffen	PROPN	28
27	W.	W.	PROPN	28
28	Graae	Graae	PROPN	25
29	.	.	PUNCT	2

# sentence-text: ***
1	***	***	PUNCT	0

# sentence-text: Bush also nominated A. Noel Anketell Kramer for a 15-year term as associate judge of the District of Columbia Court of Appeals, replacing John Montague Steadman.
1	Bush	Bush	PROPN	3
2	also	also	ADV	3
3	nominated	nominate	VERB	0
4	A.	A.	PROPN	7
5	Noel	Noel	PROPN	7
6	Anketell	Anketell	PROPN	7
7	Kramer	Kramer	PROPN	3
8	for	for	ADP	13
9	a	a	DET	13
10	15	15	NUM	12
11	-	-	PUNCT	12
12	year	year	NOUN	13
13	term	term	NOUN	3
14	as	as	ADP	16
15	associate	associate	ADJ	16
16	judge	judge	NOUN	13
17	of	of	ADP	19
18	the	the	DET	19
19	District	District	PROPN	16
20	of	of	ADP	22
21	Columbia	Columbia	PROPN	22
22	Court	Court	PROPN	19
23	of	of	ADP	24
24	Appeals	Appeals	PROPN	22
25	,	,	PUNCT	3
26	replacing	replace	VERB	3
27	John	John	PROPN	29
28	Montague	Montague	PROPN	29
29	Steadman	Steadman	PROPN	26
30	.	.	PUNCT	3

# sentence-text: The sheikh in wheel-chair has been attacked with a F-16-launched bomb.
1	The	the	DET	2
2	sheikh	sheikh	NOUN	9
3	in	in	ADP	6
4	wheel	wheel	NOUN	6
5	-	-	PUNCT	6
6	chair	chair	NOUN	2
7	has	have	AUX	9
8	been	be	AUX	9
9	attacked	attack	VERB	0
10	with	with	ADP	17
11	a	a	DET	17
12	F	f	NOUN	16
13	-	-	PUNCT	12
14	16	16	NUM	12
15	-	-	PUNCT	16
16	launched	launch	VERB	17
17	bomb	bomb	NOUN	9
18	.	.	PUNCT	9

# sentence-text: He could be killed years ago and the israelians have all the reasons, since he founded and he is the spiritual leader of Hamas, but they didn&apost.
1	He	he	PRON	4
2	could	could	AUX	4
3	be	be	AUX	4
4	killed	kill	VERB	0
5	years	year	NOUN	6
6	ago	ago	ADV	4
7	and	and	CONJ	4
8	the	the	DET	9
9	israelians	israelians	PROPN	10
10	have	have	VERB	4
11	all	all	DET	13
12	the	the	DET	13
13	reasons	reason	NOUN	10
14	,	,	PUNCT	10
15	since	since	SCONJ	17
16	he	he	PRON	17
17	founded	found	VERB	10
18	and	and	CONJ	17
19	he	he	PRON	23
20	is	be	VERB	23
21	the	the	DET	23
22	spiritual	spiritual	ADJ	23
23	leader	leader	NOUN	17
24	of	of	ADP	25
25	Hamas	Hamas	PROPN	23
26	,	,	PUNCT	4
27	but	but	CONJ	4
28	they	they	PRON	29
29	did	do	VERB	4
30	n't	not	PART	29
31	.	.	PUNCT	4

# sentence-text: Today&aposs incident proves that Sharon has lost his patience and his hope in peace.
1	Today	today	NOUN	3
2	's	's	PART	1
3	incident	incident	NOUN	4
4	proves	prove	VERB	0
5	that	that	SCONJ	8
6	Sharon	Sharon	PROPN	8
7	has	have	AUX	8
8	lost	lose	VERB	4
9	his	he	PRON	10
10	patience	patience	NOUN	8
11	and	and	CONJ	10
12	his	he	PRON	13
13	hope	hope	NOUN	10
14	in	in	ADP	15
15	peace	peace	NOUN	13
16	.	.	PUNCT	4

# sentence-text: Nervous people make mistakes, so I suppose there will be a wave of succesfull arab attacks.
1	Nervous	nervous	ADJ	2
2	people	people	NOUN	3
3	make	make	VERB	0
4	mistakes	mistake	NOUN	3
5	,	,	PUNCT	3
6	so	so	ADV	8
7	I	I	PRON	8
8	suppose	suppose	VERB	3
9	there	there	PRON	11
10	will	will	AUX	11
11	be	be	VERB	8
12	a	a	DET	13
13	wave	wave	NOUN	11
14	of	of	ADP	17
15	succesfull	succesfull	ADJ	17
16	arab	arab	ADJ	17
17	attacks	attack	NOUN	13
18	.	.	PUNCT	3

# sentence-text: A la guerre c&aposest comme a la guerre!
1	A	a	X	8
2	la	la	X	8
3	guerre	guerre	X	8
4	c'est	c'est	X	8
5	comme	comme	X	8
6	a	a	X	8
7	la	la	X	8
8	guerre	guerre	X	0
9	!	!	PUNCT	8

# sentence-text: In the eastern city of Baqubah, guerrillas detonated a car bomb outside a police station, killing several people.
1	In	in	ADP	4
2	the	the	DET	4
3	eastern	eastern	ADJ	4
4	city	city	NOUN	9
5	of	of	ADP	6
6	Baqubah	Baqubah	PROPN	4
7	,	,	PUNCT	9
8	guerrillas	guerrilla	NOUN	9
9	detonated	detonate	VERB	0
10	a	a	DET	12
11	car	car	NOUN	12
12	bomb	bomb	NOUN	9
13	outside	outside	ADP	16
14	a	a	DET	16
15	police	police	NOUN	16
16	station	station	NOUN	9
17	,	,	PUNCT	9
18	killing	kill	VERB	9
19	several	several	ADJ	20
20	people	people	NOUN	18
