class,words
0,"[',']"
1,['the']
2,['of']
3,['and']
4,['.']
5,['to']
6,['in']
7,['that']
1758,"['a', ';', 'this', 'any', 'long', 'very', 'my', 'different', 'great', 'short', 'slight']"
1753,"['I', 'is', 'as', 'from', 'are', 'on', 'by', 'been', 'under', 'The', 'plants', 'In', 'so', 'when', 'if', 'believe', 'see', 'nearly', 'shall', ')', 'even', 'It', 'what', 'there', 'less']"
1756,"['be', 'have', 'species', 'same', 'animals', 'conditions', 'may', 'breeds', 'nature', 'could', 'most', 'races', 'can', 'facts', 'varieties', 'these', 'individuals', 'structure', 'must', 'variation', 'cannot', 'cases', 'manner']"
1740,"['which', 'it', 'has', 'not', 'with', 'we', 'for', 'all', 'they', 'often']"
1747,"['or', 'some', 'our', 'their', 'domestic', 'more', 'an', 'much', 'each', 'do', 'its', 'domesticated', ':', 'than', 'distinct', 'certain', 'such', '(', 'differ']"
1721,"['several', 'other', 'one', 'many', 'wild', 'state', 'me', 'subject', 'only', 'case']"
1717,"['but', 'at', 'will', 'would', 'between', 'how']"
